,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
X1,0.0,0.858553,1.0,0.978495,0.940789,0.894737,0.907975,1.0,1.0,1.0
X2,0.858553,0.0,1.0,0.943548,0.886719,0.875,0.91411,1.0,1.0,0.990164
X3,1.0,1.0,0.0,0.992941,0.985882,0.983529,1.0,0.89486,0.981308,0.957647
X4,0.978495,0.943548,0.992941,0.0,0.895161,0.94086,1.0,1.0,1.0,0.965054
X5,0.940789,0.886719,0.985882,0.895161,0.0,0.832653,0.965235,1.0,1.0,0.957377
X6,0.894737,0.875,0.983529,0.94086,0.832653,0.0,0.940695,0.981308,1.0,0.957377
X7,0.907975,0.91411,1.0,1.0,0.965235,0.940695,0.0,1.0,1.0,1.0
X8,1.0,1.0,0.89486,1.0,1.0,0.981308,1.0,0.0,0.988318,0.948598
X9,1.0,1.0,0.981308,1.0,1.0,1.0,1.0,0.988318,0.0,1.0
X10,1.0,0.990164,0.957647,0.965054,0.957377,0.957377,1.0,0.948598,1.0,0.0
