,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
X1,0.0,0.927165,1.0,1.0,0.988189,0.940945,0.941323,1.0,1.0,1.0
X2,0.927165,0.0,1.0,0.996923,0.950108,0.928416,0.96005,1.0,1.0,1.0
X3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.942118,1.0,1.0
X4,1.0,0.996923,1.0,0.0,0.944615,0.969231,1.0,1.0,1.0,1.0
X5,0.988189,0.950108,1.0,0.944615,0.0,0.873206,1.0,1.0,1.0,1.0
X6,0.940945,0.928416,1.0,0.969231,0.873206,0.0,0.963795,1.0,1.0,1.0
X7,0.941323,0.96005,1.0,1.0,1.0,0.963795,0.0,1.0,1.0,1.0
X8,1.0,1.0,0.942118,1.0,1.0,1.0,1.0,0.0,1.0,0.984973
X9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
X10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984973,1.0,0.0
