,tipo_delito,medio_utilizado,rango_edad_victima,genero_victima,region,hora_incidente,antivirus_activo,doble_factor,denuncia_formal
tipo_delito,0.0,0.882979,0.927492,0.867069,0.923885,0.912387,0.927492,0.906344,0.92145
medio_utilizado,0.882979,0.0,0.949468,0.888298,0.942257,0.928191,0.93617,0.920213,0.93617
rango_edad_victima,0.927492,0.949468,0.0,0.908088,0.900262,0.857627,0.871324,0.845588,0.860294
genero_victima,0.867069,0.888298,0.908088,0.0,0.926509,0.894915,0.860335,0.826816,0.849162
region,0.923885,0.942257,0.900262,0.926509,0.0,0.88189,0.902887,0.892388,0.900262
hora_incidente,0.912387,0.928191,0.857627,0.894915,0.88189,0.0,0.861017,0.854237,0.857627
antivirus_activo,0.927492,0.93617,0.871324,0.860335,0.902887,0.861017,0.0,0.569343,0.601399
doble_factor,0.906344,0.920213,0.845588,0.826816,0.892388,0.854237,0.569343,0.0,0.622378
denuncia_formal,0.92145,0.93617,0.860294,0.849162,0.900262,0.857627,0.601399,0.622378,0.0
